Operation,Line Number*,Type,Buyer Item Number,Supplier Item Number*,Short Name*,Item Description*,UNSPSC**,Category ID**,Is Active*,Keywords,Lead Time (in Days)*,Currency Code*,Price*,UOM*,Organization Entity,Item specification,Supported UOM,Conversion Factors For Supported UOM WRT UOM**,Price Per Supported UOM**,Manufacturer,Manufacturer Part Number,Manufacturer Model Number,Minimum Order Quantity,Maximum Order Quantity,Banding,Is Tax Exempt,Contract Number,Contract Line Number,Start Date*,End Date*,GTIN,Image Name,Image URL
"Update","12731","Material","760030","760030","DISPENSER,SANITIZER,PURELL,ES6","","","HAND CLEANERS AND DISPENSERS","Yes","DISPENSER,SANITIZER,PURELL,ES6,BLK,760030,,Gojo,,0,1200ml,2","1","USD","0.010","EA","","","EA","1","0.010","Go-Jo Industries Inc","6424-01","","1","999999","","No","","","04/14/2023","12/31/2099","","760030.jpg","https://www.nacorporation.com/ItemImages/Summit/760030.jpg"
"","12193","Material","136355","136355","PART,BATH TT,KEY,CAT74","  Manufacturer Item 33043","","PERSONAL PAPER PRODUCTS","Yes","","1","USD","1.080","EA","","","EA","1","1.080","Bobrick","330-43","","1","999999","","No","","","05/10/2022","12/31/2099","","136355.jpg","https://www.nacorporation.com/ItemImages/Summit/136355.jpg"
"","12617","Material","202431","202431","ESCALATOR CLEANER,24,UNIT  T","","","","Yes","","1","USD","382.900","EA","","","EA","1","382.900","REN CORPORATION","HS-24-00","","1","999999","","No","","","11/04/2022","12/31/2099","","202431.jpg","https://www.nacorporation.com/ItemImages/Summit/202431.jpg"
"","9776","Material","189359","189359","MOP MICROFIBER,SMARTCOLOR,16,","","","JANITOR CARTS AND ACCESSORIES","Yes","","1","USD","74.990","PK","","","PK","1","74.990","Unger","MM40B","","1","999999","","No","","","12/31/2022","12/31/2099","","",""
"","9894","Material","263019","263019","SPECIALITY EQUIP PARTS,TREAD C","","","","Yes","","1","USD","130.110","EA","","","EA","1","130.110","REN CORPORATION","CS-17-02","","1","999999","","No","","","03/31/2023","12/31/2099","","263019.jpg","https://www.nacorporation.com/ItemImages/Summit/263019.jpg"
"","12308","Material","133265","133265","CART,JANITOR,BLK,COMPACT,HIGH","","","JANITOR CARTS AND ACCESSORIES","Yes","","1","USD","478.850","EA","","","EA","1","478.850","NEWELL BRANDS DISTRIBUTION,LLC","FG9T7800BLA","","1","999999","","No","","","07/05/2022","12/31/2099","","",""
"","12323","Material","114172","114172","DISPENSER,BATH TT,CRLS CMPT,QU","","","PERSONAL PAPER PRODUCTS","Yes","Quad Coreless Bath Tissue Dispenser,114172,56748,Georgia-Pacific,Compact?,660,1,11.75x6.9x13.25","1","USD","0.010","EA","","","EA","1","0.010","Georgia-Pacific","56748","","1","999999","","No","","","03/10/2023","12/31/2099","","114172.jpg","https://www.nacorporation.com/ItemImages/Summit/114172.jpg"
"","12324","Material","134811","134811","DISPENSER,SEAT CVR,LEVER,SCOTT","INSIGHT Seriesi Personal Seats Toilet Seat Cover Dispenser gives you a graceful new look. It is curved and contemporary, creating the best impression for your restrooms. Dispenses one cover at a time. Fully enclosed for sanitation.   Size 17.5x13.25x3.25 Color Smoke Grey Const Plastic QtyCs 1 Manufacturer KimberlyClark Professional","","PERSONAL PAPER PRODUCTS","Yes","Lever Toilet Seat Cover Dispenser,134811,09506,Kimberly-Clark Professional,Scott?,886,1,17.5x13.25x3.25","1","USD","11.200","EA","","","EA","1","11.200","Kimberly-Clark","09506","","1","999999","","No","","","03/01/2023","12/31/2099","","134811.jpg","https://www.nacorporation.com/ItemImages/Summit/134811.jpg"
"","10273","Material","760034","760034","SOAP,HAND,FOAM,DYF FREE,PUREL","","","HAND CLEANERS AND DISPENSERS","Yes","SOAP,HAND,FOAM,DY/F FREE,PURELL,ES4,760034,,Gojo,,0,1200ml,2","1","USD","20.680","CS","","","CS","1","20.680","Go-Jo Industries Inc","5072-02","","1","999999","","No","","","12/31/2021","12/31/2099","","760034.jpg","https://www.nacorporation.com/ItemImages/Summit/760034.jpg"
"","10407","Material","931954","931954","LINER 42.5X48 .95 MIL CLEAR 56","","","WASTE CONTAINERS, LINERS AND ACCESSORIES ","Yes","LINER 42.5X48 .95 MIL CLEAR 56 GAL,931954,,,,219","1","USD","21.290","CS","","","CS","1","21.290","Aspen","VP4930XC","","1","999999","","No","","","02/23/2023","12/31/2099","","",""
